profile_id,sound_meaning
OHE-00001,더할
OHE-00002,옳을
OHE-00003,아름다울
OHE-00004,시렁
OHE-00005,집
OHE-00006,거리
OHE-00007,갓
OHE-00008,겨를
OHE-00009,시집갈
OHE-00010,노래
OHE-00011,아름다울
OHE-00012,값
OHE-00013,심을
OHE-00014,각각
OHE-00015,물리칠
OHE-00016,뿔
OHE-00017,새길
OHE-00018,삼갈
OHE-00019,쌍옥
OHE-00020,껍질
OHE-00021,누각
OHE-00022,깨달을
OHE-00023,방패
OHE-00024,"책펴낼,새길"
OHE-00025,괘이름
OHE-00026,지레
OHE-00027,강직할
OHE-00028,볼
OHE-00029,장대산
OHE-00030,사이
OHE-00031,가릴
OHE-00032,줄기
OHE-00033,개간할
OHE-00034,충고할
OHE-00035,정성
OHE-00036,대쪽
OHE-00037,목마를
OHE-00038,칡
OHE-00039,달
OHE-00040,헤아릴
OHE-00041,감히
OHE-00042,견딜
OHE-00043,느낄
OHE-00044,덜
OHE-00045,볼
OHE-00046,"볼,구어볼"
OHE-00047,거울
OHE-00048,갑옷
OHE-00049,갑옷
OHE-00050,강
OHE-00051,언덕
OHE-00052,성
OHE-00053,굳셀
OHE-00054,굳셀
OHE-00055,산등성이
OHE-00056,언덕
OHE-00057,편안할
OHE-00058,내릴
OHE-00059,벼리
OHE-00060,강철
OHE-00061,굳셀
OHE-00062,강론할
OHE-00063,끼일
OHE-00064,착할
OHE-00065,고칠
OHE-00066,낱
OHE-00067,개선할
OHE-00068,열
OHE-00069,대개
OHE-00070,물댈
OHE-00071,덮을
OHE-00072,손
OHE-00073,다시
OHE-00074,갈
OHE-00075,클
OHE-00076,수레
OHE-00077,살
OHE-00078,막을
OHE-00079,떨어질
OHE-00080,개천
OHE-00081,의거할
OHE-00082,들
OHE-00083,수건
OHE-00084,사건
OHE-00085,세울
OHE-00086,정성
OHE-00087,건강할
OHE-00088,하늘
OHE-00089,문빗장
OHE-00090,열쇠
OHE-00091,뛰어날
OHE-00092,호걸
OHE-00093,검소할
OHE-00094,칼
OHE-00095,검사할
OHE-00096,높이들
OHE-00097,쉴
OHE-00098,격식
OHE-00099,격문
OHE-00100,과격할
OHE-00101,볼
OHE-00102,굳을
OHE-00103,끌
OHE-00104,명주
OHE-00105,보낼
OHE-00106,정할
OHE-00107,맺을
OHE-00108,깨끗할
OHE-00109,겸할
OHE-00110,겸손할
OHE-00111,고칠
OHE-00112,들
OHE-00113,빛날
OHE-00114,서울
OHE-00115,일곱쨰천간
OHE-00116,곧을
OHE-00117,굳셀
OHE-00118,굳셀
OHE-00119,밭갈
OHE-00120,빛날
OHE-00121,지름길
OHE-00122,대개
OHE-00123,마침내
OHE-00124,통할
